parcel,permit_count,distinct_types,top_type,total_valuation,first_permit,last_permit,address,lat,lon
I39 00704 0028,2,2,Residential Gas Permit,0,2026-01-30,2026-06-30,"74 FOUNTAIN AVE, DAYTON OH 45405-3702 United States",39.77889294574839,-84.20887553260617
I39 00708 0047,1,1,Residential Electrical Permit,0,2026-02-19,2026-02-19,"1944 E Fourth ST, DAYTON OH 45403-1910",39.7615559155273,-84.16546521953332
I39 00711 0033,2,2,Residential Building Permit,8316,2026-02-20,2026-03-12,"4321 WILLOW HILLS DR, DAYTON OH 45404 United States",39.736673342207155,-84.1151653390364
I39 00802 0004,1,1,Permit Revision,0,2026-04-10,2026-04-10,"4710 OLD TROY PIKE, DAYTON OH 45424",39.82265624949803,-84.14435934428226
I39 00810 0003,2,2,Residential Electrical Permit,0,2026-01-30,2026-06-02,"2061 LITCHFIELD AVE, DAYTON OH 45406-3813 United States",39.78717596098794,-84.2396978104772
I39 00814 0026,1,1,Residential Mechanical Permit,0,2026-01-20,2026-01-20,"409 KENILWORTH AVE, DAYTON OH 45405-4039 United States",39.776394293066986,-84.21094225674463
I39 00814 0053,1,1,Residential Mechanical Permit,0,2026-03-30,2026-03-30,"1535 W SECOND ST, DAYTON OH 45402-6727",,
I39 00902 0013,13,1,Commercial Electrical Permit,0,2026-04-02,2026-05-13,"617 W RIVERVIEW AVE, APT/UNIT 402, DAYTON OH 45406-5578 United States",39.76360067336581,-84.20385386724902
I39 00905 0029,1,1,Residential Mechanical Permit,0,2026-06-26,2026-06-26,"1040 BUNCHE AVE, DAYTON OHIO 45417",,
I39 00906 0033,2,1,Residential Electrical Permit,0,2026-06-17,2026-06-17,"1616 Wyoming ST, DAYTON OH 45410-2526",39.74659615642503,-84.15836365079001
I39 00906 0041,1,1,Residential Mechanical Permit,0,2026-06-08,2026-06-08,"221 WATERVLIET AVE, DAYTON OH 45420-2454 United States",39.736640846795645,-84.14877683327596
I39 00909 0043,1,1,Residential Mechanical Permit,0,2026-05-12,2026-05-12,"3516 VIEWEL AVE, DAYTON OH 45414-5336 United States",39.798198414470924,-84.19434876050148
I39 00918 0002,1,1,Commercial Electrical Permit,0,2026-03-17,2026-03-17,"4389 W Third ST, DAYTON OH 45402",39.74883602212424,-84.25842266317747
I39 01003 0024,1,1,Residential Electrical Permit,0,2026-04-08,2026-04-08,"806 GONDERT AVE, DAYTON OH 45403-3328 United States",39.75515236856041,-84.13958130842917
I39 01009 0005,1,1,Residential Building Permit,193000,2026-04-20,2026-04-20,"3822 HOOVER AVE, DAYTON OH 45402-5233 United States",39.761251222843164,-84.2501011022826
I39 01009 0011,1,1,Residential Electrical Permit,0,2026-04-29,2026-04-29,"227 N BROADWAY ST, DAYTON OH 45402 United States",39.758492976542755,-84.21488960068896
I39 01009 0023,1,1,Residential Mechanical Permit,0,2026-04-10,2026-04-10,"1210 SUPERIOR AVE, DAYTON OH 45402-5933 United States",39.76520906201254,-84.22246230859669
I39 01009 0052,1,1,Residential Mechanical Permit,0,2026-02-02,2026-02-02,"1449 ROSEDALE DR, DAYTON OH 45406-4745 United States",39.77510425008896,-84.22679571170406
I39 01013 0028,2,1,Residential Electrical Permit,0,2026-04-06,2026-04-06,"1730 FAUVER AVE, DAYTON OH 45420-2503 United States",39.741833040747025,-84.14097874103135
I39 01013 0029,1,1,Residential Electrical Permit,0,2026-02-12,2026-02-12,"1528 DIETZEN ST, DAYTON OH 45417-4635 United States",39.73556350745149,-84.21415801731483
I39 01022 0001,1,1,Residential Mechanical Permit,0,2026-03-27,2026-03-27,"1356 W First ST, DAYTON OH 45402-6633",39.75735818099574,-84.21653083748943
I39 01108 0015,1,1,Residential Electrical Permit,0,2026-04-29,2026-04-29,"1535 W Second ST, DAYTON OH 45402-6727",,
I39 01109 0030,1,1,Residential Mechanical Permit,0,2026-06-01,2026-06-01,"4720 BURKHARDT AVE, DAYTON OH 45403-3204 United States",39.759714210192215,-84.13052766674464
I39 01112 0016,1,1,Commercial Electrical Permit,0,2026-05-13,2026-05-13,"704 ROCKFORD AVE, APT/UNIT 1, DAYTON OH 45405-4030 United States",39.77850485028296,-84.20611867446175
I39 01113 0014,1,1,Residential Electrical Permit,0,2026-06-29,2026-06-29,"59 ALBERTA ST, DAYTON OH 45410 United States",39.748916203536815,-84.18336144414069
I39 01116 0039,1,1,Residential Electrical Permit,0,2026-03-24,2026-03-24,"2922 E SECOND ST, DAYTON OH 45403-1237 United States",39.76729682078399,-84.15279021643748
I39 01203 0002,1,1,Residential Electrical Permit,0,2026-05-04,2026-05-04,"26 S HALLOWAY ST, DAYTON OH 45417-1802 United States",39.74990924983487,-84.24524880686911
I39 01208 0001,1,1,Commercial Electrical Permit,0,2026-02-19,2026-02-19,"3558 STANFORD PL, DAYTON OH 45406-3634 United States",39.77703459035414,-84.24548710141988
I39 01209 0016,1,1,Residential Mechanical Permit,0,2026-05-01,2026-05-01,"627 S SMITHVILLE RD, DAYTON OH 45403-3126 United States",39.756843132354135,-84.13890241993188
I39 01213 0018,1,1,Residential Mechanical Permit,0,2026-02-04,2026-02-04,"224 Pritz AVE, DAYTON OH 45403-2522",39.75571265032883,-84.15639279438888
I39 01213 0025,3,2,Residential Building Permit,124986,2026-04-09,2026-06-08,"4640 Blue Iris DR, DAYTON OH 45404",39.776371004040676,-84.19878206345713
I39 01306 0024,1,1,Residential Mechanical Permit,0,2026-06-23,2026-06-23,"4625 BLUE IRIS DR, DAYTON OH 45404",,
I39100701 0016,1,1,Commercial Mechanical Permit,0,2026-06-02,2026-06-02,"17 E Fourth ST, DAYTON OH 45402-2101",39.75845352805611,-84.19070706511039
I39101404 0047,1,1,Residential Mechanical Permit,0,2026-06-10,2026-06-10,"3941 ALVIN AVE, DAYTON OH 45417-4309 United States",39.7306630962524,-84.25115755228839
I39101407 0046,1,1,Residential Mechanical Permit,0,2026-05-29,2026-05-29,"6452 HERITAGE PARK BLVD, DAYTON OH 45424-1770 United States",39.82816896857152,-84.0941942512673
I39101502 0058,1,1,Commercial Building Permit,0,2026-02-04,2026-02-04,"3622 MODENA ST, DAYTON OH 45417-4104 United States",39.73218131069457,-84.2520918933856
I39101509 0009,1,1,Residential Mechanical Permit,0,2026-05-11,2026-05-11,"38 POINTVIEW AVE, DAYTON OH 45405-2801 United States",39.792776652257636,-84.21369387909276
I39101601 0005,1,1,Commercial Electrical Permit,0,2026-04-22,2026-04-22,"111 HARRIES ST, DAYTON OH 45402 United States",39.762032900373896,-84.18831764767742
I39101610 0007,1,1,Residential Mechanical Permit,0,2026-05-04,2026-05-04,"3111 BROOKS ST, DAYTON OH 45420-1957 United States",39.74315648584019,-84.15015094564234
I39300208 0003,1,1,Residential Mechanical Permit,0,2026-03-04,2026-03-04,"840 SAINT AGNES ST, DAYTON OH 45402-5925 United States",39.763963268440236,-84.22054223181992
I39300208 0022,1,1,Residential Electrical Permit,0,2026-06-25,2026-06-25,"161 LEXINGTON AVE, DAYTON OH 45402-6133 United States",39.768300555801424,-84.21444394359831
I39300210 0027,1,1,Residential Electrical Permit,0,2026-03-05,2026-03-05,"4419 WATER WILLOW CT, DAYTON OHIO 45404",,
I39300220 0025,1,1,Residential Mechanical Permit,0,2026-02-12,2026-02-12,"821 CLEMENT AVE, DAYTON OH 45417-3724 United States",39.742808167305874,-84.227144427758
I39401307 0013,1,1,Residential Electrical Permit,0,2026-04-17,2026-04-17,"25 S MOSS AVE, DAYTON OH 45417-1803 United States",39.75038943143291,-84.24232609797026
I39401314 0030,1,1,Residential Electrical Permit,0,2026-06-04,2026-06-04,"1010 FERGUSON AVE, DAYTON OH 45402-6116 United States",39.767410938738465,-84.21631498091512
I39401315 0019,1,1,Residential Mechanical Permit,0,2026-03-03,2026-03-03,"146 CENTRAL AVE, DAYTON OH 45406-5467 United States",39.766329764935364,-84.20631868125346
I39401318 0045,1,1,Residential Mechanical Permit,0,2026-03-03,2026-03-03,"230 N WILLIAMS ST, DAYTON OH 45402 United States",39.75909338108216,-84.21122019834485
I39401319 0001,1,1,Residential Mechanical Permit,0,2026-03-20,2026-03-20,"715 GREENLAWN AVE, DAYTON OH 45403-3331 United States",39.75323436419844,-84.14295332776355
I39401319 0039,1,1,Residential Mechanical Permit,0,2026-01-29,2026-01-29,"325 RITCHIE ST, DAYTON OH 45404-2117 United States",39.78422520402074,-84.16507479199359
I39401319 0054,1,1,Residential Electrical Permit,0,2026-02-12,2026-02-12,"4385 CONEFLOWER DR, DAYTON OH 45404 United States",39.81717467275231,-84.14137034098
I39401505 0032,1,1,Commercial Electrical Permit,0,2026-04-17,2026-04-17,"725 S LUDLOW ST, DAYTON OH 45402",39.75074114622736,-84.19190590461398
J44120913 0003,1,1,Residential Electrical Permit,0,2026-04-07,2026-04-07,"2526 YOLANDA DR, DAYTON OH 45431 United States",39.73310079611919,-84.23726142395165
J44120913 0137,1,1,Residential Gas Permit,0,2026-03-09,2026-03-09,"1910 WESLEYAN RD, DAYTON OH 45406 United States",39.7839033688661,-84.2435445441557
J44128203 0026,1,1,Residential Electrical Permit,0,2026-03-09,2026-03-09,"220 ALBERTA ST, DAYTON OH 45410-1302 United States",39.747792080345505,-84.18159600205763
J44128204 0032,1,1,Residential Mechanical Permit,0,2026-03-02,2026-03-02,"4369 WEEPING WILLOW DR, DAYTON OH 45404 United States",,
K45 02401 0012,1,1,Commercial Building Permit,0,2026-04-01,2026-04-01,"39 S SAINT CLAIR ST, DAYTON OH 45402-2112 United States",39.759013913883955,-84.18821961355538
K45 02401 0020,1,1,Commercial Building Permit,0,2026-05-14,2026-05-14,"436 CINCINNATI ST, DAYTON OH 45417",,
K45 02401 0046,1,1,Commercial Electrical Permit,0,2026-02-12,2026-02-12,"4131 FREE PIKE, APT/UNIT 20, DAYTON OH 45416-1240 United States",39.79822944166529,-84.25687183524197
K45 02401 0170,2,2,Commercial Electrical Permit,0,2026-03-19,2026-03-31,"711 E SECOND ST, DAYTON OH 45402-1319 United States",39.76315876015173,-84.17991992504842
K45 02502 0063,1,1,Residential Electrical Permit,0,2026-06-24,2026-06-24,"1831 PINECREST DR, DAYTON OH 45414-5319 United States",39.79979786012385,-84.19652712915287
K45 02502 0079,1,1,Residential Electrical Permit,0,2026-01-14,2026-01-14,"787 Ernroe DR, DAYTON OH 45417-3507",39.73581354023498,-84.25066100367076
K45 02511 0117,2,2,Commercial Building Permit,0,2026-05-08,2026-05-11,"1821 EMERSON AVE, DAYTON OH 45406 United States",39.781638521987894,-84.22349489358821
K45 02602 0024,2,1,Commercial Building Permit,0,2026-03-13,2026-05-20,"330 W Second ST, DAYTON OH 45422-4999",39.759828634862885,-84.19775974825204
K45 02602 0081,2,2,Commercial Gas Permit,0,2026-03-04,2026-03-06,"5067 NORRIS DR, DAYTON OH 45414-3709 United States",39.820214423998,-84.20547792290847
K45 02602 0085,2,2,Commercial Building Permit,0,2026-01-21,2026-02-17,"1137 Brown ST, DAYTON OH 45409-2603",39.742548165720606,-84.18263142751792
K45 02602 0086,4,2,Commercial Electrical Permit,0,2026-03-30,2026-05-13,"704 ROCKFORD AVE, APT/UNIT 3, DAYTON OH 45405-4030 United States",39.77850485028296,-84.20611867446175
K45 02603 0005,2,2,Commercial Building Permit,0,2026-04-27,2026-04-30,"2917 BERKLEY ST, DAYTON OH 45409",39.7682976801775,-84.24247742588419
K45 02603 0028,1,1,Residential Electrical Permit,0,2026-05-08,2026-05-08,"2313 FAUVER AVE, DAYTON OH 45420-2524 United States",39.73349140060176,-84.14214447974645
K45 02603 0041,1,1,Commercial Gas Permit,0,2026-04-27,2026-04-27,"1309 SALEM AVE, APT/UNIT 4, DAYTON OH 45406-4937 United States",39.77683436040845,-84.2180132488343
K45 02603 0179,2,2,Commercial Electrical Permit,0,2026-03-06,2026-04-06,"1000 W THIRD ST, APT/UNIT 3, DAYTON OH 45402-6833 United States",39.75631073381917,-84.21044112147031
K45 02604 0018,1,1,Commercial Mechanical Permit,0,2026-03-09,2026-03-09,"37 S SAINT CLAIR ST, DAYTON OH 45402-2112 United States",39.75904951854671,-84.18822758793605
K45 02604 0158,1,1,Commercial Building Permit,0,2026-05-01,2026-05-01,"951 W THIRD ST, DAYTON OH 45402 United States",,
K45 02604 0211,1,1,Commercial Electrical Permit,0,2026-02-12,2026-02-12,"1803 Webster ST, DAYTON OH 45404-1153",39.78678996722427,-84.18214840907886
K45 02605 0011,3,1,Residential Mechanical Permit,0,2026-03-02,2026-05-22,"117 NEAL AVE, DAYTON OH 45405-4528 United States",39.7712678016843,-84.20020908521549
K45 02605 0093,3,3,Commercial Building Permit,0,2026-03-20,2026-05-28,"3600 TERMINAL DR, DAYTON OH 45377 United States",39.898604457430565,-84.22130315387628
K45 02605 0097,2,2,Commercial Building Permit,0,2026-01-23,2026-02-19,"125 N WILKINSON ST, DAYTON OH 45402 United States",39.76119158363699,-84.19617416988275
K45 02605 0103,1,1,Commercial Building Permit,0,2026-05-21,2026-05-21,"135 N MAIN ST, DAYTON OH 45402 United States",39.76194893898221,-84.19279848837233
K45 02605 0110,1,1,Commercial Mechanical Permit,0,2026-06-02,2026-06-02,"40 S Main ST, DAYTON OH 45402",39.75858596717528,-84.19123324009236
K45 02605 0127,1,1,Commercial Electrical Permit,0,2026-01-21,2026-01-21,"325 Homewood AVE, DAYTON OH 45405",39.77483486705055,-84.204681264325
K45 02606 0017,1,1,Commercial Building Permit,0,2026-03-27,2026-03-27,"220 YALE AVE, APT/UNIT 14, DAYTON OH 45402-6011 United States",39.770501238213555,-84.21727485885125
K45 02606 0046,3,3,Commercial Building Permit,0,2026-02-11,2026-05-12,"1976 N MAIN ST, DAYTON OH 45405-3801 United States",39.781874465332244,-84.20815504444198
K45 02606 0056,1,1,Commercial Building Permit,0,2026-05-12,2026-05-12,"300 Abbey Ave., DAYTON OH 45417",39.74873536236311,-84.23894337569445
K45 02606 0058,2,2,Commercial Building Permit,0,2026-04-22,2026-05-01,"947 W THIRD ST, DAYTON OH 45402 United States",39.75861360088416,-84.21648254159624
K45 02606 0072,1,1,Commercial Electrical Permit,0,2026-04-21,2026-04-21,"544 BRANDT ST, APT/UNIT C, DAYTON OH 45404-2293 United States",39.78431813321521,-84.16085255117169
K45 02607 0003,6,1,Commercial Mechanical Permit,0,2026-03-04,2026-06-02,"17 E Fourth ST, DAYTON OH 45402-2101",39.75845352805611,-84.19070706511039
K45 02607 0004,6,3,Commercial Electrical Permit,0,2026-02-17,2026-05-18,"4628 MIDWAY AVE, DAYTON OH 45417-1354 United States",39.75051978713043,-84.26385795697946
K45 02607 0077,1,1,Commercial Electrical Permit,0,2026-04-10,2026-04-10,"1400 ALBRITTON DR, DAYTON OH 45417 United States",39.73393872495715,-84.2332941977309
K45 02607 0188,2,2,Commercial Building Permit,0,2026-03-03,2026-03-06,"1023 E FOURTH ST, DAYTON OH 45402-2231 United States",39.7594908074135,-84.1787392819018
K45 02608 0008,1,1,Commercial Mechanical Permit,0,2026-03-16,2026-03-16,"1520 S MAIN ST, DAYTON OH 45409-2698 United States",39.73780336991269,-84.18549371482919
K45 02608 0052,1,1,Residential Mechanical Permit,0,2026-04-09,2026-04-09,"206 LAWNVIEW AVE, DAYTON OH 45409 United States",39.73462725403379,-84.17686589944039
K45 02608 0060,1,1,Residential Mechanical Permit,0,2026-06-23,2026-06-23,"4619 OZARK AVE, DAYTON OH 45432-3203 United States",39.736737096787145,-84.12779584402708
K45 02611 0033,2,2,Residential Electrical Permit,0,2026-03-02,2026-04-13,"1658 RUSKIN RD, DAYTON OH 45406-4116 United States",39.778649335516235,-84.23568772225848
K45 02612 0006,1,1,Residential Electrical Permit,0,2026-01-14,2026-01-14,"311 ILLINOIS AVE, DAYTON OH 45410-2037 United States",39.74134617778408,-84.16338889577544
K45 02612 0075,1,1,Residential Building Permit,420000,2026-02-25,2026-02-25,"20 N TORRENCE ST, DAYTON OH 45403-1114 United States",39.7653562733071,-84.15965697904709
K45 02612 0076,2,1,Residential Electrical Permit,0,2026-03-06,2026-03-16,"4418 WATER WILLOW DR, DAYTON OHIO 45404",39.72761585027152,-84.13033882377046
K45 02615 0020,2,1,Residential Electrical Permit,0,2026-03-24,2026-04-24,"1842 HIGH KNOLL DR, DAYTON OH 45414-3737 United States",39.82466935245341,-84.20746012891682
K45 18718 0004,1,1,Residential Electrical Permit,0,2026-04-07,2026-04-07,"4236 LARCHMONT DR, DAYTON OH 45417-1217 United States",39.75634747868263,-84.25795402386795
K45 18718 0008,1,1,Residential Gas Permit,0,2026-01-02,2026-01-02,"68 MCREYNOLDS ST, DAYTON OH 45403-2417 United States",39.75794791975382,-84.1670119115526
K45 18721 0066,1,1,Residential Mechanical Permit,0,2026-04-14,2026-04-14,"445 DAKOTA ST, DAYTON OH 45402-6624 United States",39.7598546549143,-84.21442826665464
K45 18722 0002,1,1,Commercial Mechanical Permit,0,2026-06-11,2026-06-11,"173 AVONDALE DR, DAYTON OH 45404",39.79539127451572,-84.15624011745231
K45 18807 0010,1,1,Residential Mechanical Permit,0,2026-04-01,2026-04-01,"1317 W First ST, DAYTON OH 45402-6634",39.7578331958782,-84.2151837289312
K45 18810 0002,1,1,Residential Mechanical Permit,0,2026-02-18,2026-02-18,"607 MARYLAND AVE, DAYTON OH 45404-1756 United States",39.77878740215991,-84.17573461157801
K45 18811 0013,1,1,Residential Mechanical Permit,0,2026-03-24,2026-03-24,"28 WOODLAND AVE, DAYTON OH 45409-2852 United States",39.74281014553519,-84.18140710115479
K45 18811 0017,1,1,Residential Electrical Permit,0,2026-06-15,2026-06-15,"1446 CHADWICK DR, DAYTON OH 45406-4724 United States",39.77212292884086,-84.22619513612193
K45 21103 0005,1,1,Residential Electrical Permit,0,2026-05-01,2026-05-01,"4432 WOODBINE AVE, DAYTON OH 45420-3113 United States",39.734967514288755,-84.1328117004745
K45 21106 0009,1,1,Residential Mechanical Permit,0,2026-06-12,2026-06-12,"312 W NORMAN AVE, DAYTON OH 45405-3340 United States",39.783644389751835,-84.21854424165704
K45 21114 0001,2,2,Commercial Electrical Permit,0,2026-04-10,2026-04-17,"4447 HOOVER AVE, DAYTON OH 45417-1117 United States",39.762313757589006,-84.26114116389307
K45 21123 0016,2,2,Residential Building Permit,45000,2026-05-05,2026-05-29,"321 ILLINOIS AVE, DAYTON OH 45410-2037 United States",39.74104591115825,-84.16345999065781
K45 22909 0005,1,1,Residential Mechanical Permit,0,2026-04-09,2026-04-09,"145 RIDGE AVE, DAYTON OH 45405-3846 United States",39.782148483392504,-84.20440625154582
K45 22921 0024,1,1,Residential Mechanical Permit,0,2026-05-05,2026-05-05,"1431 WILMINGTON AVE, APT/UNIT 209, DAYTON OH 45420-1565 United States",39.72108467668179,-84.1511965951389
K45 22922 0008,1,1,Residential Mechanical Permit,0,2026-06-09,2026-06-09,"12 S PHILADELPHIA ST, DAYTON OH 45403-2102 United States",39.76503945640313,-84.15566094988897
K45 23015 0059,1,1,Residential Mechanical Permit,0,2026-05-01,2026-05-01,"4449 WILLOW MIST DR, DAYTON OH 45424-4464 United States",39.819856605504185,-84.10352522266567
K45 23022 0002,1,1,Residential Mechanical Permit,0,2026-06-11,2026-06-11,"4629 ALLEGHENY AVE, DAYTON OH 45432-3248 United States",39.73746974696577,-84.12763161682699
K45 23106 0002,1,1,Commercial Electrical Permit,0,2026-03-04,2026-03-04,"1 CHILDRENS PLZ, DAYTON OH 45404 United States",39.774028226896995,-84.16886982183259
K45 23109 0014,1,1,Residential Gas Permit,0,2026-02-23,2026-02-23,"1816 KIPLING DR, DAYTON OH 45406-3916 United States",39.78163755564477,-84.24228913217108
K45 23119 0026,1,1,Residential Mechanical Permit,0,2026-03-24,2026-03-24,"411 LOWES ST, DAYTON OH 45409-2439 United States",39.735137382945084,-84.17665006525263
K45 23120 0006,1,1,Residential Mechanical Permit,0,2026-04-22,2026-04-22,"703 WELLMEIER AVE, DAYTON OH 45410-2728 United States",39.7497539041577,-84.14962061046955
K45 23122 0001,1,1,Residential Electrical Permit,0,2026-05-01,2026-05-01,"704 HART ST, DAYTON OH 45404-1953 United States",39.77518952525649,-84.1708049869325
K45 23123 0012,1,1,Residential Mechanical Permit,0,2026-06-17,2026-06-17,"4066 DELPHOS AVE, DAYTON OH 45402-5219 United States",39.7634299425139,-84.25112004942686
K45 23124 0024,1,1,Residential Electrical Permit,0,2026-03-03,2026-03-03,"939 W THIRD ST, DAYTON OH 45402 United States",,
K45 23206 0003,1,1,Residential Electrical Permit,0,2026-04-30,2026-04-30,"631 SAINT PAUL AVE, DAYTON OH 45410-1934 United States",39.75006470229173,-84.16334800752853
K45 23206 0005,1,1,Residential Mechanical Permit,0,2026-01-21,2026-01-21,"825 SALEM AVE, DAYTON OH 45406-5827 United States",39.77209394995531,-84.21378294898507
K45 23218 0023,1,1,Residential Building Permit,75000,2026-06-08,2026-06-08,"2834 HAZEL AVE, DAYTON OH 45420-3009 United States",39.72566517964334,-84.13592573279807
K45 23223 0001,1,1,Commercial Building Permit,0,2026-04-27,2026-04-27,"511 STEELE AVE, DAYTON OH 45410-1813 United States",39.752354676653304,-84.16780965484459
K45 25601 0006,1,1,Residential Mechanical Permit,0,2026-04-02,2026-04-02,"200 N ORCHARD AVE, DAYTON OH 45417-2453 United States",39.75661119596848,-84.2292083882014
K45 25610 0046,1,1,Residential Building Permit,15000,2026-01-27,2026-01-27,"113 MCDANIEL ST, DAYTON OH 45405-4819 United States",39.76755003758936,-84.1960443596451
K45 25611 0015,1,1,Residential Mechanical Permit,0,2026-05-29,2026-05-29,"4447 ACCLIVIS LN, DAYTON OH 45424-5188 United States",39.805834021158574,-84.10313828195655
K45 25624 0014,1,1,Residential Mechanical Permit,0,2026-03-30,2026-03-30,"130 KNECHT DR, DAYTON OH 45405-2628 United States",39.794665464595944,-84.21221333702933
K45 25625 0026,1,1,Residential Mechanical Permit,0,2026-01-22,2026-01-22,"1226 COLWICK DR, DAYTON OH 45420-2208 United States",39.72465944587649,-84.1451758488971
K45 25803 0006,1,1,Residential Mechanical Permit,0,2026-01-20,2026-01-20,"3250 CAMPUS DR, DAYTON OH 45406-4123 United States",39.7767563365982,-84.24204607531098
K45 25819T0001,2,2,Commercial Electrical Permit,0,2026-01-08,2026-01-20,"1121 RIVERSIDE DR, DAYTON OH 45405-4211 United States",39.776164886085375,-84.19804043700508
K45 26504 0001,1,1,Commercial Electrical Permit,0,2026-03-13,2026-03-13,"972 PATTERSON RD, DAYTON OH 45419-4337 United States",39.723904121460464,-84.15239766839758
K45 26508 0012,1,1,Residential Mechanical Permit,0,2026-04-30,2026-04-30,"1324 BANCROFT ST, DAYTON OH 45417-3810 United States",39.743109015804826,-84.21659512333926
K45 26607 0020,1,1,Residential Mechanical Permit,0,2026-06-26,2026-06-26,"2122 DELLA DR, DAYTON OH",,
K45 26612 0021,2,2,Residential Electrical Permit,0,2026-01-02,2026-06-03,"1827 HARVARD BLVD, DAYTON OH 45406-4540 United States",39.77964195856088,-84.22891882738469
K45 26617 0011,1,1,Residential Mechanical Permit,0,2026-03-12,2026-03-12,"1024 W FAIRVIEW AVE, DAYTON OH 45406-2808 United States",39.78718426326024,-84.22783190484522
K45 26625 0016,1,1,Residential Mechanical Permit,0,2026-04-29,2026-04-29,"18 MERCER AVE, DAYTON OH 45402",,
K45 28305 0003,2,2,Commercial Electrical Permit,0,2026-04-17,2026-06-02,"1 CHILDRENS PLZ, DAYTON OH 45404 United States",39.774028226896995,-84.16886982183259
K45 28308 0009,1,1,Residential Mechanical Permit,0,2026-02-11,2026-02-11,"761 BROOKLYN AVE, DAYTON OH 45402-5402 United States",39.76542399194543,-84.24059213215402
K45 28309 0043,1,1,Residential Mechanical Permit,0,2026-02-09,2026-02-09,"3119 GLEN ROCK RD, DAYTON OH 45420-1900 United States",39.74075739635519,-84.15009770385771
K45 28310 0039,1,1,Residential Mechanical Permit,0,2026-05-18,2026-05-18,"121 MALDEN AVE, DAYTON OH 45417-9005 United States",39.74993011342003,-84.26745004448526
K45 28335 0021,1,1,Residential Mechanical Permit,0,2026-02-04,2026-02-04,"1944 W GRAND AVE, DAYTON OH 45402-5733 United States",39.766493072557836,-84.22964204496101
K45 28336 0037,1,1,Residential Mechanical Permit,0,2026-02-27,2026-02-27,"121 VIRGINIA AVE, DAYTON OH 45410-2315 United States",39.74461190926387,-84.16061776673567
K45 28337 0001,1,1,Commercial Building Permit,0,2026-05-20,2026-05-20,"636 N IRWIN ST, DAYTON OH 45403 United States",39.77427693537859,-84.1528950012866
K45 50010 0013,2,1,Commercial Building Permit,0,2026-04-08,2026-05-01,"943 W THIRD ST, DAYTON OH 45402 United States",39.756620253766386,-84.2105391802679
K45 50010 0016,1,1,Commercial Building Permit,0,2026-05-01,2026-05-01,"941 W THIRD ST, DAYTON OH 45402 United States",39.75662941925359,-84.21047540569595
K45 50010 0037,1,1,Commercial Electrical Permit,0,2026-04-22,2026-04-22,"149 EDISON ST, APT/UNIT 1, DAYTON OH 45402-6600 United States",39.75861360088416,-84.21648254159624
K45 50617 0025,1,1,Residential Mechanical Permit,0,2026-03-26,2026-03-26,"4492 CARDINAL FLOWER DR, DAYTON OH 45404",,
K45 51105 0013,1,1,Residential Mechanical Permit,0,2026-03-16,2026-03-16,"4043 QUAIL BUSH DR, DAYTON OH 45424-4739 United States",39.8173448477224,-84.11208046183285
K45 51457 0004,1,1,Commercial Electrical Permit,0,2026-02-13,2026-02-13,"20 LATHROP ST, DAYTON OH 45410",,
K47 02403 0152,2,1,Residential Gas Permit,0,2026-02-23,2026-03-09,"1845 KIPLING DR, DAYTON OH 45406 United States",39.78257813634889,-84.2429247854319
K47 18707 0015,1,1,Residential Electrical Permit,0,2026-04-09,2026-04-09,"1215 Windsor AVE, DAYTON OH 45402-5719",39.76972879043612,-84.2284131154791
K47 18708 0004,1,1,Residential Electrical Permit,0,2026-02-04,2026-02-04,"60 CONSTANTIA AVE, DAYTON OH 45419-4101 United States",39.73277206705432,-84.1615768554204
K47 18801 0018,1,1,Residential Electrical Permit,0,2026-01-23,2026-01-23,"2325 HOOVER AVE, DAYTON OH 45402-5527 United States",39.761795068602936,-84.23367758764972
K47 18809 0010,1,1,Residential Mechanical Permit,0,2026-03-30,2026-03-30,"1541 W SECOND ST, DAYTON OH 45402-6518",39.75617778482438,-84.21981378574294
K47 18813 0011,1,1,Residential Mechanical Permit,0,2026-06-16,2026-06-16,"44 HAYNES ST, DAYTON OH 45410-1819 United States",39.75433218893505,-84.16678314826835
K47 21109 0025,1,1,Residential Mechanical Permit,0,2026-06-26,2026-06-26,"1332 HOLLY AVE, DAYTON OH 45410-2629 United States",39.74114195926663,-84.15475188209412
K47 21110 0019,1,1,Residential Mechanical Permit,0,2026-06-02,2026-06-02,"1702 XENIA AVE, DAYTON OH 45410-2708 United States",39.752865216341455,-84.15276553841151
K47 21126 0001,1,1,Residential Gas Permit,0,2026-02-23,2026-02-23,"1838 KIPLING DR, DAYTON OH 45406 United States",39.78233388955339,-84.24236351620274
K47 21202 0053,1,1,Residential Mechanical Permit,0,2026-04-01,2026-04-01,"207 N Broadway St, Dayton OH 45402",39.801017531194724,-84.31182720967374
K47 21204 0041,1,1,Residential Mechanical Permit,0,2026-04-28,2026-04-28,"74 NOTRE DAME AVE, DAYTON OH 45404-1924 United States",39.777464686220355,-84.1718417395045
K47 21207 0004,1,1,Residential Building Permit,2000,2026-06-11,2026-06-11,"663 OAK ST, DAYTON OH 45410-1425 United States",39.74920146076808,-84.17515845027741
K47 21209 0066,1,1,Residential Mechanical Permit,0,2026-02-05,2026-02-05,"2043 BURBANK DR, DAYTON OH 45406-4414 United States",39.78512715455982,-84.23306600863009
K47 21209 0069,1,1,Residential Mechanical Permit,0,2026-04-10,2026-04-10,"113 JAY ST, DAYTON OH 45410-1322 United States",39.74672551760107,-84.1783607124498
