name,theme,publisher,bucket,prune_status,prune_reason,geo_flag,scratchpad_flag,records,fields,updated
Water/Lift_Station_Condition_Assessment,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,15,55,
City of Dayton Custodial Inspection,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,4,25,2025-12-02
City of Dayton Custodial Inspection _results,condition/quality,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,4,25,2025-12-02
Property Management Custodial Check List,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2025-12-01
Property Management Custodial Check List_results,ownership/transfers,City of Dayton,"High-value, good data — promotion candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2025-11-19
Active Community Index Compared to Population Density (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
BEA Hexes ACI Index (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
BEA Hexes AI Index (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
BEA Hexes LU Index (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Children (0-17) Population Density (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Concord Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Crashes Involving a Bicyclist or Pedestrian (Since 2020) (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Crosswalk Density (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
"Density of Crashes (All Types, Since 2020) (Properties Saved)",ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Developed Areas (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
FromPiquaSidewalks (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Generalized Land Use (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Jurisdiction Boundaries (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Level of Traffic Stress (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Mask for Study Area (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Monroe Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Newberry Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Newton Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Older Adults (65) Population Density (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Percent of Population that Commutes 15 Minutes or less on Average (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Percent of Population that Drives Alone to Work (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Piqua Sidewalks (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Population Density (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Poverty Rate (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Riverside_Wastewater_NotLikely,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2015-10-27
Riverside_Water_NotLikely,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2015-10-27
Speed Limit (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Springcreek Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Staunton Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Unemployment Rate (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
Union Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
UnionTwpParcelsMiaCo,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise/off-topic/wrong-geography,not-checked,,,0,2020-04-08
Washington Twp MultiZone_V,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2017-10-30
Zero Car Households (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
ZIP Codes (Properties Saved),ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",removed,noise (out-of-jurisdiction / orphaned bookmark),not-checked,,,0,2025-07-11
BMVSurveyMap2022_WFL1,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2022-11-03
County_Boundaries,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2022-05-25
Low Income Low Access,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2026-06-15
pesMedianIncome2,affordability/tenure,MVRPC (regional),"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2025-07-10
PLAN4Health Built Environment Assessment Block Groups,affordability/tenure,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2022-11-01
Fire/Inspections_Not_Completed,condition/quality,City of Dayton,"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,5033,68,
Fire/Inspections_Not_Completed,condition/quality,City of Dayton,"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,5033,68,
Fire/Hydrant_Completed_Inspections,condition/quality,City of Dayton,"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,2567,85,
Fire/Hydrant_Completed_Inspections,condition/quality,City of Dayton,"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,2567,85,
Fire/2018_Completed_Inspections,condition/quality,City of Dayton,"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,FLAGGED,6,36,
TAZPopulationProjections,investment/projects,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2022-10-03
St_Annes_Hill_SLSA_2017_WEB,ownership/transfers,City of Dayton,"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2017-11-29
CostBurdenedByTract_WFL1,ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2026-02-27
DRMP_Focal_Parks_Deeds_Point,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2019-04-05
GreeneTableProperty,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,,0,2023-02-17
MCD_Easements_Property,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2017-05-16
MCDMerge,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2017-05-23
MiamiTableProperty,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,,0,2022-03-04
PropertyRecoveredTimeSeries,ownership/transfers,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,,0,2022-05-04
PropertyRecoveredTimeSeriesFixedMay22,ownership/transfers,MVRPC (regional),"High-value, good data — promotion candidate",review,ambiguous relevance — needs a human call,no-extent-data,ok,,0,2024-05-14
MOTNAP,vacancy,MVRPC (regional),"High-value, weak data — FIX-IT candidate",review,ambiguous relevance — needs a human call,ok,ok,,0,2017-11-27
