name,publisher,source_owner,theme,geography,granularity,access,cadence,formats,key_fields,records,updated,housing_relevant,queryable,capabilities,priority,current_use_state,desired_use_state,url,item_page,notes
EV Parking Inventory_form,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-30,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_5ef0a485a9544563923e560133da6607_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=4bb45913b75c492094d02bd58697f89d,
EV Parking Inventory_results,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-30,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_5ef0a485a9544563923e560133da6607_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=60fa7af5de384ce09c8835aa71af174f,
Existing Plans_WFL1,City of Dayton,Jennifer.Hanauer (City of Dayton GIS / PND),zoning/land use,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-01-17,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Existing_Plans_WFL1/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=4653fd164e184e619282d2797d72c094,Summary of existing plans for the City of Dayton from 2010 - Present.
Feedback Form - 1,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-07-07,,N,"Create,Delete,Query,Update,Editing,Extract,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_877e4a0836354e25a7b749dc1bdd57a8/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=f240a2a38fb54351aded0490fa5b5b73,
Feedback Form_fieldworker,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-02-16,,Y,"Create,Query,Update,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_87dba669f21e4ee492cf9b88b512a9fa_fieldworker/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=00790ac16bbc4fc89240262c726b924c,
Feedback Form_stakeholder,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-02-16,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_87dba669f21e4ee492cf9b88b512a9fa_stakeholder/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=a158aa0276f54fdc94e91bc932c586dd,
Fiber Splice Enclosure,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-03-18,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Fiber_Splice_Enclosure/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=74d61a428b2241c6b5f33f610db984f3,
FiberEndPoints,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-08-15,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/FiberEndPoints/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=757d2a4777294050975cc75f8a395938,Fiber End Points
FiberOpticCable2,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-08-15,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/FiberOpticCable2/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=c43da42d620f42e0bc29878fdabfd434,
FieldMaps/MapLayers_AllUtilities,City of Dayton,City of Dayton GIS,infrastructure,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,76 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/FieldMaps/MapLayers_AllUtilities/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire Stations,City of Dayton,barnold_Dayton_OH (City of Dayton GIS / PND),public safety,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-05-18,,Y,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Fire_Stations/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=d5e2f1085a9043bea45b2c369665fd0e,
Fire/2018_Completed_Inspections,City of Dayton,City of Dayton GIS,condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,2 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/2018_Completed_Inspections/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/ArsonInvestigation,City of Dayton,City of Dayton GIS,investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,3 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/ArsonInvestigation/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/ArsonInvestigation,City of Dayton,City of Dayton GIS,investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,3 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/ArsonInvestigation/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/CompanyInDistrict,City of Dayton,City of Dayton GIS,zoning/land use,City of Dayton,neighborhood,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/CompanyInDistrict/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/ESO_FireIncidents,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,0 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/ESO_FireIncidents/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/ESO_FireIncidents,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,0 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/ESO_FireIncidents/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Fire_Company_In_District_Stations,City of Dayton,City of Dayton GIS,zoning/land use,City of Dayton,neighborhood,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,2 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Fire_Company_In_District_Stations/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Fire_Safety_Survey,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Fire_Safety_Survey/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Fire_Safety_Survey,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,2 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Fire_Safety_Survey/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Fire_Stations,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Fire_Stations/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FireAreas,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,3 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FireAreas/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FireIncidents,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,2 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FireIncidents/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FireIncidents_Dashboard,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FireIncidents_Dashboard/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FireIncidents_Police,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,3 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FireIncidents_Police/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FirePreIncidentPlans,City of Dayton,City of Dayton GIS,zoning/land use,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,9 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FirePreIncidentPlans/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FirePreIncidentPlans,City of Dayton,City of Dayton GIS,zoning/land use,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,9 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FirePreIncidentPlans/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/FireStations_AdjacentAgencies,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/FireStations_AdjacentAgencies/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Hydrant_Completed_Inspections,City of Dayton,City of Dayton GIS,condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Hydrant_Completed_Inspections/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Hydrant_Completed_Inspections,City of Dayton,City of Dayton GIS,condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Hydrant_Completed_Inspections/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/IncidentMapping,City of Dayton,City of Dayton GIS,public safety,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,0 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/IncidentMapping/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Inspections_Not_Completed,City of Dayton,City of Dayton GIS,condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Inspections_Not_Completed/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Inspections_Not_Completed,City of Dayton,City of Dayton GIS,condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Inspections_Not_Completed/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Meter_Shop_Referrals,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Meter_Shop_Referrals/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Meter_Shop_Referrals,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Meter_Shop_Referrals/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Parcels,City of Dayton,City of Dayton GIS,ownership/transfers,City of Dayton,parcel,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,Y,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Parcels/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Possible_Fire_Stations,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS FeatureServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Possible_Fire_Stations/FeatureServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/Possible_Fire_Stations,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/Possible_Fire_Stations/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/SpeedTable,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/SpeedTable/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
Fire/StructureFires,City of Dayton,City of Dayton GIS,public safety,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,0 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Fire/StructureFires/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
FireStations_GC_8_24_2021,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),geography/reference,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-09-14,Y,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/FireStations_GC_8_24_2021/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=d66b87551be647dfb68f50b50f7812ba,Dayton Fire Station points based on geocoded addresses
Five Oaks Park Orthomosaic,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-06-22,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Five_Oaks_Park_Orthomosaic/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=115306a94ea14ecc8a479497fa6a4cc9,orthomosaic
Forestry Work Tracking_fieldworker,City of Dayton,Bryan.Urban@daytonohio.gov (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-11-20,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_a1a7913b89c343fa975608d90f4e72cb_fieldworker/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b2a11c3ff080428fa9d6a9f7e857b016,
Gem City Ice Cream Site Orthomosaic,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-01-11,,N,"Map,TilesOnly,Tilemap",,,,https://tiles.arcgis.com/tiles/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Gem_City_Ice_Cream_Site_Orthomosaic/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=a06922cd74554d3c8aace7fa6067a8b2,orthomosaic
GeoDataService,City of Dayton,City of Dayton GIS,,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,1 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/GeoDataService/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
GIS Copy of Dayton Recovery Plan Monthly Dashboard Data DRP Projects - DRP Projects - FL,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-08-17,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/GIS_Copy_of_Dayton_Recovery_Plan_Monthly_Dashboard_Data_DRP_Projects/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=a8b99af365494da0be504e215aa96e62,
GIS_Copy_of_Dayton_Recovery_Plan_Monthly_Dashboard_Data_DRP_Projects,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-10-25,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/GIS_Copy_of_Dayton_Recovery_Plan_Monthly_Dashboard_Data_DRP_Projects/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=39dc0c509a6043f298918c3cf328b2b4,
Government Services Collection Pickup Map - Public,City of Dayton,greg.hornbeek_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-03-03,,Y,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/PublicWorks/Waste_Collection_Pickup_Map_Public/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=55b83d7fcd844f1eb061d8def4cbef92,This map is used to author a map service for the My Government Services for Public Works application.
Greater Downtown Investment,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-25,,Y,"Create,Delete,Query,Update,Editing,Extract,Sync,ChangeTracki",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_df7c10887e354cb289d52e3270910822/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b6309301d2864c288952dca816f75088,
Greater Downtown Investment_form,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-25,,Y,"Create,Delete,Query,Update,Editing,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_df7c10887e354cb289d52e3270910822_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=755bfc6189f049b397d3818beb1696ac,
Greater Downtown Investment_results,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-25,,Y,"Query,Extract",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_df7c10887e354cb289d52e3270910822_results/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=e16bd632632e4df7a2b4fc392614befe,
Greater_Downtown_Investment_Updated,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-05-31,,Y,"Create,Delete,Query,Update,Editing,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Greater_Downtown_Investment_Updated/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=3bc41d08cd764af8adc8441f55b86ae9,Greater Downtown Investment Updated
GreaterMiamiSoleSourceAquifer,City of Dayton,barnold_Dayton_OH (City of Dayton GIS / PND),affordability/tenure,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2021-04-23,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/GreaterMiamiSoleSourceAquifer/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=9056889f7686463fa41a8aeb8a9b55ca,
Group Homes and 1_000 Foot Buffers_WFL1,City of Dayton,kyrsten.french_daytonohio (City of Dayton GIS / PND),investment/projects,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-01-23,,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Group_Homes_and_1_000_Foot_Buffers_WFL1/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=53250dab2d864ad28cce18f34e5db616,"A map of state data showing group homes in Montgomery County and 1,000 foot buffers projected around these homes."
Hansen Submit Service Request Test_fieldworker,City of Dayton,Frank.Boateng_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-08-11,,Y,"Create,Query,Update,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_c1310afb289140f9b6a1361b2284170e_fieldworker/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=9f419643aeaf498680f07e29cb1b9565,
Hansen/HansenMap84,City of Dayton,City of Dayton GIS,,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),ArcGIS MapServer,,69 layers,,,,,,,,https://maps.daytonohio.gov/gisservices/rest/services/Hansen/HansenMap84/MapServer,https://maps.daytonohio.gov/gisservices/rest/services,
HCS Request Form_form,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),condition/quality,City of Dayton,parcel,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-01-13,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_d59d9ed501814258b84e89145889c587_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=6da224f2bf0d4d7d8246075d5639cee5,
HOUSING_INSPECTION_AREAS_2025_agol_copy,City of Dayton,Richard.Bailey@DaytonOhio.gov (City of Dayton GIS / PND),condition/quality,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,107,2025-11-17,Y,Y,Query,,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/HOUSING_INSPECTION_AREAS_2025_agol_copy/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=82d194643b7c4a6ca6fbf19b7d902b3a,
HousingProjects_ProgramType,City of Dayton,Cameron.Goschinski (City of Dayton GIS / PND),investment/projects,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,376,2025-11-13,Y,Y,"Create,Delete,Query,Update,Editing,Sync",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/HousingRequest_ExportFeature1/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=b4ff1ced602648d7b0d1abd837c5b943,"Housing projects by program type in Dayton, Ohio."
Hub Events (public),City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-02-19,,N,service unreachable: URL can't contain control characters. ',,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/Hub Events (public)/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=1d2bca6d895b41769aff30676cf5ed9c,Feature service for public Hub events
Impervious Area,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2018-11-09,,N,service unreachable: The read operation timed out,,,,https://maps.daytonohio.gov/gisservices/rest/services/Water/ImpArea/MapServer,https://daytonohio.maps.arcgis.com/home/item.html?id=2160a6656d2345f6bb321b05d671c80b,
Intern Supervisor Weekly Form_form,City of Dayton,emma.jewell (City of Dayton GIS / PND),,City of Dayton,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-07-21,,N,"Create,Editing",,,,https://services2.arcgis.com/3dDB2Kk6kuA2gIGw/arcgis/rest/services/survey123_1af669670278418b87072dd8fe621be5_form/FeatureServer,https://daytonohio.maps.arcgis.com/home/item.html?id=0f60f9cadd544f0aa38d404525498d72,
IPS Graffiti Requests_90 Days_Layer,City of Dayton,greg.hornbeek_DaytonOhio (City of Dayton GIS / PND),,City of Dayton,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-07-07,,N,"Map,Query,Data",,,,https://maps.daytonohio.gov/gisservices/rest/services/PublicWorks/COD_ServiceRequests_Last90/MapServer/0,https://daytonohio.maps.arcgis.com/home/item.html?id=892603bf543049119870fd2d4043ec13,
